age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
58.0,,married,,no,96.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
34.0,JobCat11,single,primary,no,-171.0,yes,,unknown,5.0,may,0.0,,-1.0,0.0,unknown,TypeA
58.0,JobCat8,,tertiary,no,-364.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
55.0,JobCat9,divorced,,no,,no,no,unknown,5.0,may,0.0,,-1.0,0.0,unknown,TypeA
27.0,JobCat6,single,,no,,,no,unknown,5.0,may,0.0,1.0,-1.0,,unknown,TypeA
54.0,JobCat3,married,secondary,no,1291.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
48.0,JobCat6,divorced,tertiary,no,,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
,JobCat11,single,secondary,no,-76.0,,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
36.0,JobCat6,single,,no,424.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
,JobCat3,single,unknown,no,24.0,yes,no,unknown,5.0,may,,,-1.0,0.0,unknown,TypeA
46.0,JobCat7,married,primary,no,179.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
53.0,JobCat9,,secondary,no,989.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
31.0,JobCat7,married,,no,790.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
51.0,JobCat6,married,tertiary,,6530.0,yes,,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
60.0,JobCat2,married,,no,100.0,no,no,unknown,5.0,may,0.0,,-1.0,0.0,unknown,TypeA
55.0,,married,,no,1205.0,yes,no,unknown,5.0,may,0.0,2.0,-1.0,0.0,unknown,TypeA
33.0,JobCat3,single,secondary,no,12223.0,yes,yes,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
29.0,JobCat7,,,no,25.0,yes,yes,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
54.0,JobCat6,married,secondary,no,282.0,yes,yes,unknown,5.0,may,0.0,,-1.0,0.0,unknown,TypeA
43.0,JobCat9,married,,no,1937.0,yes,no,unknown,5.0,may,0.0,1.0,,0.0,unknown,TypeA
53.0,JobCat9,married,secondary,no,384.0,yes,no,unknown,,may,0.0,1.0,-1.0,0.0,unknown,TypeA
44.0,JobCat3,married,secondary,no,582.0,no,,unknown,,may,0.0,1.0,-1.0,0.0,unknown,TypeA
55.0,JobCat7,divorced,,no,91.0,no,no,,5.0,may,0.0,1.0,,0.0,unknown,TypeA
47.0,JobCat7,divorced,secondary,no,164.0,no,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
59.0,,married,secondary,no,2343.0,yes,no,,,may,0.0,1.0,,0.0,unknown,TypeB
46.0,JobCat8,married,tertiary,no,137.0,yes,yes,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
56.0,JobCat11,,,no,45.0,no,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeB
41.0,JobCat9,married,secondary,no,1270.0,,no,unknown,5.0,may,0.0,,-1.0,0.0,unknown,TypeB
46.0,JobCat6,divorced,secondary,no,16.0,yes,yes,unknown,5.0,may,0.0,2.0,-1.0,,unknown,TypeA
57.0,,,secondary,,486.0,yes,no,unknown,5.0,may,0.0,2.0,-1.0,0.0,unknown,TypeA
60.0,JobCat3,,,no,54.0,yes,no,unknown,,may,0.0,1.0,-1.0,0.0,unknown,TypeA
57.0,JobCat4,divorced,secondary,no,-37.0,no,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
55.0,JobCat3,married,secondary,no,383.0,no,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
,,married,secondary,no,0.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
46.0,JobCat6,married,tertiary,no,229.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
44.0,JobCat3,,,no,-674.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
59.0,JobCat3,married,primary,no,179.0,yes,no,unknown,5.0,may,0.0,3.0,-1.0,0.0,unknown,TypeA
44.0,JobCat3,married,secondary,no,54.0,,no,unknown,5.0,may,0.0,1.0,,0.0,unknown,TypeA
47.0,JobCat9,married,tertiary,no,151.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,,unknown,TypeA
59.0,JobCat2,single,secondary,,30.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
45.0,,married,,no,523.0,yes,no,unknown,5.0,may,0.0,,-1.0,0.0,unknown,TypeA
27.0,JobCat7,,secondary,no,31.0,yes,no,unknown,5.0,may,,1.0,-1.0,0.0,unknown,TypeA
46.0,JobCat9,divorced,secondary,,79.0,no,no,,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
56.0,JobCat8,married,primary,no,-34.0,yes,yes,unknown,5.0,may,0.0,,-1.0,0.0,unknown,TypeA
44.0,JobCat3,married,secondary,no,144.0,yes,no,,5.0,may,0.0,2.0,-1.0,,unknown,TypeA
41.0,JobCat11,,secondary,,351.0,yes,no,unknown,5.0,may,0.0,,-1.0,0.0,unknown,TypeA
31.0,JobCat6,single,tertiary,no,-67.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
,JobCat9,divorced,,no,56.0,yes,no,unknown,5.0,may,0.0,1.0,,0.0,unknown,TypeA
,JobCat3,married,secondary,no,26.0,yes,no,unknown,,may,,1.0,-1.0,0.0,unknown,TypeA
43.0,JobCat7,married,,no,41.0,yes,yes,unknown,5.0,,0.0,2.0,-1.0,0.0,unknown,TypeA
52.0,JobCat9,married,tertiary,no,7.0,no,yes,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
,JobCat9,single,secondary,no,105.0,yes,no,unknown,5.0,may,0.0,,-1.0,0.0,unknown,TypeA
27.0,JobCat11,single,,no,818.0,yes,yes,unknown,,may,0.0,1.0,,0.0,unknown,TypeA
32.0,JobCat7,married,secondary,no,-16.0,yes,yes,unknown,5.0,may,,1.0,-1.0,0.0,unknown,TypeA
29.0,JobCat3,married,,no,0.0,yes,no,unknown,5.0,may,0.0,,-1.0,0.0,unknown,TypeA
,JobCat6,married,unknown,,1185.0,no,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
30.0,JobCat11,single,secondary,no,217.0,yes,no,unknown,5.0,may,,,-1.0,0.0,unknown,TypeA
36.0,JobCat9,single,,,1685.0,yes,no,,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
55.0,,single,secondary,no,802.0,yes,yes,unknown,,may,,2.0,-1.0,0.0,unknown,TypeA
26.0,JobCat10,,tertiary,no,0.0,yes,no,unknown,5.0,may,0.0,2.0,-1.0,0.0,unknown,TypeA
30.0,JobCat9,single,,no,0.0,yes,no,unknown,5.0,may,0.0,1.0,,0.0,unknown,TypeA
,JobCat3,married,secondary,no,265.0,yes,no,unknown,5.0,may,,1.0,-1.0,0.0,unknown,TypeA
,JobCat1,divorced,primary,no,947.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
32.0,JobCat8,single,secondary,no,,yes,no,unknown,5.0,may,,1.0,-1.0,0.0,unknown,TypeA
59.0,JobCat3,married,secondary,no,57.0,,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
56.0,JobCat3,,primary,no,8.0,yes,no,unknown,5.0,may,0.0,2.0,-1.0,0.0,unknown,TypeA
,JobCat10,married,secondary,no,293.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
43.0,JobCat7,married,,,3.0,yes,,unknown,,may,0.0,2.0,-1.0,0.0,unknown,TypeA
,JobCat3,married,primary,no,348.0,yes,no,unknown,5.0,may,0.0,2.0,-1.0,0.0,unknown,TypeA
24.0,JobCat5,single,secondary,no,0.0,yes,no,unknown,5.0,may,0.0,2.0,-1.0,0.0,unknown,TypeA
40.0,JobCat6,married,tertiary,no,,yes,no,unknown,5.0,may,0.0,,-1.0,0.0,unknown,TypeA
37.0,JobCat6,married,secondary,no,18.0,yes,no,unknown,,may,0.0,,-1.0,0.0,unknown,TypeA
51.0,JobCat3,married,,,1883.0,yes,no,unknown,5.0,may,0.0,1.0,,0.0,unknown,TypeA
60.0,JobCat2,divorced,secondary,no,216.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
52.0,JobCat3,married,secondary,no,782.0,yes,no,unknown,5.0,,0.0,3.0,-1.0,,unknown,TypeA
48.0,JobCat3,married,secondary,no,904.0,yes,no,unknown,5.0,may,0.0,2.0,-1.0,0.0,unknown,TypeA
48.0,JobCat7,married,,no,1705.0,yes,no,unknown,,may,0.0,1.0,-1.0,0.0,unknown,TypeA
37.0,JobCat9,single,tertiary,no,47.0,yes,no,unknown,,may,0.0,1.0,-1.0,0.0,,TypeA
40.0,JobCat3,married,secondary,no,1225.0,yes,,unknown,5.0,may,0.0,5.0,-1.0,0.0,unknown,TypeA
45.0,JobCat9,married,,no,,yes,no,unknown,,may,0.0,1.0,-1.0,0.0,unknown,TypeA
24.0,JobCat11,,secondary,no,82.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
50.0,JobCat3,married,primary,no,,no,,unknown,5.0,may,0.0,,-1.0,0.0,unknown,TypeA
53.0,,married,unknown,no,19.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,,unknown,TypeA
60.0,JobCat11,divorced,secondary,no,92.0,yes,no,unknown,5.0,may,,1.0,-1.0,0.0,unknown,TypeA
53.0,JobCat11,divorced,secondary,no,1151.0,yes,no,unknown,5.0,may,0.0,,-1.0,0.0,unknown,TypeA
48.0,JobCat10,,secondary,no,41.0,yes,no,unknown,5.0,may,0.0,2.0,,0.0,unknown,TypeA
32.0,JobCat9,married,secondary,no,51.0,yes,no,unknown,5.0,may,0.0,,-1.0,0.0,unknown,TypeA
54.0,JobCat7,married,secondary,no,214.0,yes,no,unknown,5.0,may,0.0,2.0,-1.0,0.0,unknown,TypeA
29.0,JobCat7,married,tertiary,no,37.0,yes,no,unknown,,may,0.0,,-1.0,0.0,unknown,TypeA
33.0,JobCat7,married,,,59.0,yes,no,,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
36.0,JobCat9,married,secondary,no,253.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
34.0,JobCat11,married,tertiary,,211.0,yes,no,unknown,,may,0.0,2.0,-1.0,0.0,unknown,TypeA
58.0,JobCat2,married,primary,no,,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
40.0,JobCat7,,unknown,no,4384.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
54.0,JobCat6,married,secondary,,4080.0,no,no,unknown,,may,,1.0,-1.0,0.0,unknown,TypeA
32.0,JobCat3,,secondary,no,53.0,yes,yes,unknown,5.0,may,,1.0,-1.0,,unknown,TypeA
,JobCat6,single,tertiary,no,0.0,yes,,unknown,5.0,may,0.0,,-1.0,0.0,unknown,TypeA
31.0,JobCat6,married,tertiary,no,377.0,yes,no,unknown,,may,0.0,1.0,-1.0,0.0,unknown,TypeA
55.0,JobCat6,,tertiary,no,73.0,yes,no,unknown,5.0,may,0.0,,-1.0,0.0,unknown,TypeA
42.0,JobCat11,,secondary,no,445.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
,JobCat3,married,secondary,no,243.0,yes,no,unknown,5.0,may,,,-1.0,0.0,unknown,TypeA
50.0,JobCat9,divorced,tertiary,,173.0,no,yes,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
43.0,JobCat6,married,,no,400.0,yes,no,,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
61.0,JobCat3,divorced,primary,no,1428.0,yes,no,unknown,5.0,may,0.0,2.0,-1.0,0.0,unknown,TypeA
48.0,JobCat8,married,tertiary,no,7.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
44.0,JobCat3,married,secondary,no,575.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
33.0,JobCat5,,unknown,no,298.0,yes,no,unknown,5.0,may,,2.0,-1.0,0.0,unknown,TypeA
33.0,JobCat7,married,secondary,no,0.0,yes,no,,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
41.0,JobCat6,married,tertiary,no,176.0,yes,yes,unknown,5.0,may,0.0,,-1.0,0.0,unknown,TypeA
42.0,JobCat2,married,,,56.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
36.0,JobCat3,married,secondary,no,-390.0,yes,no,,5.0,may,,1.0,-1.0,0.0,unknown,TypeA
,JobCat2,married,secondary,no,330.0,yes,no,unknown,5.0,may,0.0,2.0,-1.0,0.0,unknown,TypeA
54.0,JobCat3,,primary,no,-41.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,,unknown,TypeA
40.0,,married,,no,483.0,yes,no,unknown,5.0,may,0.0,,-1.0,0.0,unknown,TypeA
47.0,unknown,married,unknown,no,28.0,no,no,unknown,5.0,may,,2.0,-1.0,0.0,unknown,TypeA
46.0,JobCat1,married,primary,no,965.0,no,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
37.0,,,tertiary,no,378.0,yes,yes,unknown,5.0,may,0.0,,,0.0,unknown,TypeA
40.0,JobCat10,married,,no,219.0,yes,no,unknown,,may,0.0,1.0,-1.0,0.0,unknown,TypeA
33.0,JobCat4,divorced,secondary,no,-69.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
55.0,JobCat2,married,secondary,no,0.0,no,yes,unknown,5.0,may,0.0,1.0,,0.0,unknown,TypeA
43.0,JobCat9,divorced,unknown,,205.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
48.0,JobCat3,married,primary,no,278.0,yes,no,unknown,5.0,may,0.0,2.0,-1.0,0.0,unknown,TypeA
31.0,JobCat6,,tertiary,no,34.0,yes,no,unknown,5.0,may,,,-1.0,0.0,unknown,TypeA
34.0,,married,unknown,,1033.0,no,no,unknown,5.0,may,0.0,2.0,,0.0,unknown,TypeA
47.0,JobCat3,married,primary,no,-12.0,yes,no,unknown,,may,0.0,1.0,-1.0,0.0,unknown,TypeA
29.0,JobCat7,married,,no,388.0,yes,no,unknown,5.0,may,0.0,2.0,-1.0,0.0,unknown,TypeA
57.0,JobCat4,,secondary,no,294.0,yes,no,unknown,5.0,may,0.0,2.0,-1.0,0.0,,TypeA
53.0,JobCat3,married,unknown,no,1827.0,no,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
55.0,JobCat3,married,primary,no,627.0,yes,no,unknown,,may,0.0,1.0,-1.0,0.0,unknown,TypeA
45.0,JobCat3,,primary,no,25.0,yes,no,unknown,5.0,may,0.0,1.0,,0.0,unknown,TypeA
35.0,,married,primary,no,0.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
46.0,JobCat9,married,secondary,no,349.0,yes,yes,unknown,,may,,1.0,-1.0,0.0,unknown,TypeA
43.0,JobCat4,married,unknown,no,,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
42.0,JobCat6,married,unknown,no,275.0,no,no,unknown,5.0,may,,2.0,-1.0,0.0,unknown,TypeA
20.0,JobCat3,single,secondary,no,0.0,yes,no,unknown,5.0,may,0.0,2.0,,0.0,unknown,TypeA
,JobCat6,married,tertiary,no,207.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
37.0,JobCat3,,secondary,no,483.0,yes,no,unknown,,may,0.0,1.0,-1.0,0.0,unknown,TypeA
51.0,,,secondary,no,,yes,no,unknown,5.0,may,0.0,2.0,-1.0,0.0,unknown,TypeA
53.0,JobCat3,married,secondary,no,,yes,yes,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
31.0,,divorced,secondary,no,,yes,no,unknown,,may,0.0,1.0,,0.0,unknown,TypeA
50.0,JobCat6,single,,no,297.0,yes,no,,5.0,may,0.0,,-1.0,0.0,unknown,TypeA
28.0,JobCat9,single,secondary,no,2573.0,yes,no,unknown,5.0,may,0.0,2.0,-1.0,0.0,unknown,TypeA
34.0,JobCat7,married,secondary,,143.0,yes,yes,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
32.0,JobCat6,single,tertiary,no,318.0,yes,no,unknown,5.0,may,0.0,2.0,-1.0,0.0,unknown,TypeA
35.0,JobCat9,married,secondary,no,275.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
42.0,JobCat6,,tertiary,no,742.0,yes,no,unknown,5.0,may,0.0,,-1.0,0.0,unknown,TypeA
41.0,JobCat4,married,primary,no,236.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
41.0,JobCat3,married,,no,183.0,yes,yes,unknown,5.0,may,0.0,2.0,-1.0,0.0,unknown,TypeA
40.0,JobCat3,married,,no,,yes,,unknown,5.0,may,,,,0.0,unknown,TypeA
40.0,JobCat3,divorced,primary,no,0.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
57.0,,married,secondary,no,1078.0,yes,no,unknown,5.0,may,0.0,4.0,,0.0,unknown,TypeA
59.0,JobCat2,married,secondary,no,319.0,yes,no,,5.0,may,0.0,,-1.0,0.0,unknown,TypeA
37.0,JobCat7,,secondary,no,-185.0,yes,no,unknown,5.0,may,0.0,3.0,-1.0,0.0,unknown,TypeA
36.0,JobCat7,single,,,570.0,yes,no,unknown,5.0,may,0.0,2.0,,0.0,unknown,TypeA
34.0,JobCat8,,,no,19.0,no,no,,5.0,may,0.0,2.0,-1.0,0.0,unknown,TypeA
41.0,JobCat11,,,no,-62.0,yes,yes,unknown,5.0,may,0.0,2.0,-1.0,0.0,unknown,TypeA
54.0,JobCat9,married,tertiary,,258.0,no,no,,5.0,may,0.0,4.0,,0.0,unknown,TypeA
58.0,JobCat3,married,primary,no,,yes,,,5.0,,0.0,2.0,-1.0,0.0,unknown,TypeA
28.0,JobCat3,single,secondary,no,0.0,yes,,unknown,5.0,may,0.0,2.0,,0.0,unknown,TypeA
,JobCat9,single,,no,447.0,yes,no,unknown,5.0,may,0.0,,-1.0,0.0,unknown,TypeA
32.0,JobCat9,married,secondary,no,19.0,yes,no,unknown,5.0,may,0.0,4.0,-1.0,0.0,unknown,TypeA
22.0,JobCat5,single,secondary,no,,yes,no,unknown,5.0,may,0.0,2.0,-1.0,0.0,unknown,TypeA
57.0,,married,secondary,no,792.0,yes,no,unknown,5.0,may,0.0,2.0,-1.0,0.0,unknown,TypeA
34.0,JobCat7,,,no,,yes,no,unknown,5.0,may,0.0,2.0,-1.0,0.0,unknown,TypeA
53.0,JobCat7,married,unknown,no,257.0,yes,no,,5.0,may,0.0,2.0,-1.0,0.0,unknown,TypeA
50.0,JobCat9,married,,no,1234.0,yes,no,unknown,5.0,may,0.0,2.0,-1.0,0.0,unknown,TypeA
54.0,JobCat6,married,tertiary,no,313.0,yes,no,,5.0,may,0.0,2.0,-1.0,0.0,unknown,TypeA
55.0,JobCat3,married,secondary,no,,yes,no,unknown,5.0,may,0.0,3.0,-1.0,0.0,unknown,TypeA
54.0,JobCat9,married,,no,851.0,yes,no,unknown,5.0,may,0.0,,-1.0,0.0,unknown,TypeA
55.0,JobCat7,divorced,,no,,yes,yes,unknown,5.0,may,0.0,2.0,-1.0,0.0,unknown,TypeA
31.0,JobCat11,single,tertiary,no,193.0,no,no,unknown,5.0,may,0.0,,,0.0,unknown,TypeA
34.0,JobCat3,married,,no,539.0,yes,yes,unknown,,may,0.0,2.0,-1.0,0.0,unknown,TypeA
51.0,JobCat3,married,secondary,no,0.0,yes,no,,5.0,may,0.0,,-1.0,0.0,unknown,TypeA
49.0,JobCat3,married,unknown,no,,yes,no,unknown,5.0,may,0.0,2.0,-1.0,0.0,unknown,TypeA
30.0,JobCat9,divorced,tertiary,no,2558.0,no,no,unknown,5.0,may,0.0,2.0,,0.0,unknown,TypeA
29.0,JobCat11,single,,no,98.0,yes,no,unknown,5.0,may,,2.0,,0.0,unknown,TypeA
40.0,JobCat3,single,secondary,no,436.0,yes,no,,5.0,may,0.0,3.0,-1.0,0.0,unknown,TypeA
47.0,JobCat9,married,tertiary,no,831.0,yes,no,,5.0,may,0.0,,-1.0,0.0,unknown,TypeA
41.0,JobCat3,married,secondary,no,,yes,no,,5.0,may,0.0,,-1.0,0.0,unknown,TypeA
,JobCat3,married,secondary,no,1.0,no,no,unknown,5.0,may,0.0,3.0,-1.0,0.0,unknown,TypeA
58.0,JobCat6,single,tertiary,no,1387.0,yes,no,unknown,5.0,may,,5.0,-1.0,0.0,unknown,TypeA
42.0,JobCat11,single,,no,,yes,no,unknown,,may,0.0,2.0,-1.0,,unknown,TypeA
51.0,JobCat11,single,secondary,,-2.0,no,no,unknown,5.0,may,0.0,3.0,-1.0,0.0,unknown,TypeA
40.0,JobCat3,divorced,,,,yes,no,unknown,5.0,may,0.0,2.0,-1.0,0.0,unknown,TypeA
50.0,JobCat3,married,primary,no,1533.0,yes,no,unknown,,may,0.0,2.0,-1.0,0.0,unknown,TypeA
32.0,,married,,,46.0,yes,no,unknown,5.0,may,0.0,4.0,-1.0,0.0,unknown,TypeA
53.0,JobCat7,married,unknown,,18.0,,no,unknown,,may,,2.0,,0.0,unknown,TypeA
45.0,JobCat9,married,,no,44.0,yes,no,unknown,5.0,may,0.0,,-1.0,0.0,unknown,TypeA
37.0,JobCat3,,primary,no,-100.0,yes,no,unknown,5.0,,0.0,2.0,-1.0,0.0,unknown,TypeA
44.0,JobCat7,married,tertiary,no,510.0,yes,no,unknown,5.0,may,0.0,4.0,-1.0,0.0,unknown,TypeA
55.0,JobCat6,married,tertiary,no,,yes,no,unknown,5.0,may,0.0,3.0,-1.0,0.0,unknown,TypeA
46.0,JobCat6,,tertiary,,187.0,yes,no,unknown,5.0,may,0.0,2.0,-1.0,0.0,unknown,TypeA
45.0,JobCat3,married,secondary,no,,yes,no,unknown,5.0,may,0.0,2.0,-1.0,0.0,unknown,TypeA
,unknown,divorced,unknown,no,27.0,no,no,unknown,5.0,may,,3.0,-1.0,0.0,unknown,TypeA
29.0,,single,secondary,no,12.0,yes,no,unknown,5.0,may,0.0,2.0,-1.0,0.0,unknown,TypeA
40.0,JobCat3,married,secondary,no,211.0,yes,,unknown,5.0,may,0.0,4.0,-1.0,0.0,unknown,TypeA
48.0,JobCat6,married,,no,263.0,yes,no,unknown,5.0,may,0.0,2.0,-1.0,0.0,unknown,TypeA
42.0,JobCat7,married,secondary,no,1263.0,yes,no,,6.0,may,0.0,2.0,-1.0,0.0,unknown,TypeA
59.0,JobCat11,married,secondary,no,230.0,yes,no,unknown,6.0,may,0.0,3.0,,0.0,unknown,TypeA
,JobCat11,divorced,tertiary,no,,yes,no,unknown,6.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
,JobCat5,single,secondary,no,,yes,,unknown,6.0,,,1.0,-1.0,0.0,unknown,TypeA
32.0,JobCat7,married,secondary,,22.0,yes,no,unknown,6.0,may,0.0,1.0,,0.0,unknown,TypeA
23.0,JobCat11,single,secondary,no,122.0,yes,no,unknown,6.0,may,0.0,1.0,-1.0,,unknown,TypeA
49.0,JobCat3,single,,no,143.0,yes,no,,6.0,may,0.0,1.0,,0.0,unknown,TypeA
36.0,JobCat3,married,secondary,no,757.0,yes,no,unknown,6.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
40.0,JobCat6,married,secondary,no,8486.0,no,no,unknown,6.0,may,0.0,3.0,-1.0,0.0,unknown,TypeA
43.0,JobCat11,married,unknown,no,,no,no,,6.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
